timestampNs,ax,ay,az,gx,gy,gz,speedMps
0,-0.089757,0.048442,-0.218501,0.013085,0.026751,-0.011900,2.525000
100050761,0.132786,0.158154,0.165525,-0.054101,-0.009037,-0.025195,2.601107
200101522,-0.112708,0.194093,0.021936,-0.069830,-0.021037,-0.015222,2.593944
300152284,-0.081878,0.321593,0.034367,-0.028806,-0.016215,0.000894,2.648156
400203045,-0.073695,-0.020101,-0.051013,-0.051333,-0.011146,-0.002936,2.714041
500253807,-0.073774,0.322969,-0.049493,-0.043825,-0.027642,0.027654,2.788790
600304568,0.346660,0.445663,0.579786,-0.074248,-0.002543,0.000146,2.749936
700355329,0.096273,0.250197,0.573824,-0.097341,-0.041194,0.015119,2.728811
800406091,0.034247,0.141669,-0.149159,-0.051613,-0.029021,-0.007597,2.707071
900456852,0.235082,-0.031798,-0.434498,-0.060931,-0.044443,-0.006812,2.737704
1000507614,-0.137205,-0.772777,-1.758418,0.026815,0.036426,0.017664,2.661039
1100558375,-0.134062,-0.315567,-1.239214,0.061313,0.031245,0.028255,2.647442
1200609137,0.152172,-0.160182,-0.152777,0.101621,0.075340,-0.014990,2.736744
1300659898,-0.114544,-0.162426,0.342808,0.092435,0.037731,0.035636,2.840158
1400710659,0.179281,0.572709,0.722019,0.126296,0.034830,0.025988,2.862483
1500761421,0.124899,0.195960,0.179492,0.130544,0.071447,0.019415,2.667092
1600812182,0.100705,0.249025,0.236958,0.146204,0.032072,0.023394,2.794797
1700862944,0.127364,0.220733,0.053099,0.076012,0.068968,-0.013246,2.769844
1800913705,0.118780,1.565479,-0.853598,-0.066157,-0.046383,0.071392,2.751944
1900964467,-0.128876,-0.085144,-0.695884,-0.096210,-0.068211,0.013458,2.752716
2001015228,-0.066886,-0.803419,-0.130814,0.006131,-0.043165,0.067471,2.831203
2101065989,0.336076,-0.490429,0.290152,0.002365,-0.018327,0.035365,2.760393
2201116751,0.287284,0.140217,0.645665,0.084698,-0.060074,0.031724,2.899541
2301167512,-0.631544,-0.078588,1.310919,0.046556,-0.065924,-0.001218,2.859589
2401218274,-0.347351,-2.204278,-0.592603,-0.148088,-0.125380,0.031264,2.918063
2501269035,1.550635,-2.372500,-1.318245,0.264938,0.000513,0.043587,2.853420
2601319796,1.569530,-1.988285,-0.834526,0.283429,-0.004885,-0.026133,3.032539
2701370558,0.677543,-0.079995,0.320528,0.172825,-0.065285,0.002703,2.996645
2801421319,0.331237,0.076125,0.634746,0.165237,-0.117514,0.038155,3.191605
2901472081,0.784344,-0.442393,0.834005,0.144260,-0.105313,-0.006588,2.955036
3001522842,0.761800,-1.220395,0.478438,0.128814,-0.137849,0.001661,2.884151
3101573604,1.796081,-1.841785,-0.431305,0.211587,-0.186089,0.056628,2.956023
3201624365,1.435879,-0.314139,-0.528040,0.123329,-0.134706,0.052500,3.020505
3301675126,0.919168,-0.726522,-0.757328,0.039119,-0.212510,-0.026038,3.048980
3401725888,0.689012,-0.760813,-0.179800,0.077910,-0.233594,-0.010397,2.925183
3501776649,0.740670,-1.206025,0.410967,0.082318,-0.226005,0.012216,2.999496
3601827411,0.737255,-1.013003,0.659407,0.108027,-0.227805,0.001283,3.036528
3701878172,0.396795,-1.007336,-0.113062,0.107966,-0.193944,-0.030773,3.225852
3801928934,0.050112,-0.777870,-0.042856,0.125726,-0.239599,0.032606,3.370364
3901979695,0.758897,-0.912208,-0.003861,0.160952,-0.263764,0.002392,3.290434
4002030456,0.530505,-0.683741,-0.175757,0.122016,-0.216436,0.006883,3.311803
4102081218,0.630425,-0.997164,0.066993,0.138707,-0.237706,0.010696,3.303520
4202131979,0.391847,-0.860133,0.280530,0.143432,-0.264378,0.006255,3.237774
4302182741,-0.167367,-0.516557,0.184845,0.126517,-0.236754,0.032537,3.411915
4402233502,0.559410,-0.179574,0.172930,0.152345,-0.267351,0.074155,3.223690
4502284263,0.856321,-0.253789,0.157977,0.138307,-0.239101,0.061909,3.215641
4602335025,1.073548,-0.385545,0.024414,0.100610,-0.276030,0.004653,3.243360
4702385786,1.276910,-0.615675,-0.127602,0.091101,-0.344634,0.054814,3.255607
4802436548,1.305047,0.156767,0.105296,0.154014,-0.328030,0.010171,3.230296
4902487309,0.926035,-0.331386,-0.053151,0.132092,-0.329844,-0.003146,3.044411
5002538071,1.122720,-0.191209,-0.083469,0.126861,-0.335523,0.042156,3.139913
5102588832,0.963162,-0.977625,-0.216989,0.153015,-0.354408,0.009750,3.092652
5202639593,1.034027,-0.457280,-0.073370,0.142912,-0.347532,0.017823,3.045657
5302690355,1.112683,-0.608959,0.086549,0.186156,-0.393333,0.087600,3.024988
5402741116,1.423100,-0.456636,0.221445,0.202357,-0.377685,0.031923,2.881072
5502791878,1.128525,-0.646128,-0.179441,0.174609,-0.407348,0.106819,2.780886
5602842639,1.354156,-0.922207,-0.088334,0.170137,-0.415180,0.095608,2.771295
5702893401,1.246292,-0.885227,0.334602,0.218609,-0.408251,0.050943,2.706216
5802944162,0.855847,-1.473193,-0.094521,0.161095,-0.418979,0.038280,2.539973
5902994923,0.405384,-1.255447,0.153482,0.151928,-0.433086,0.020535,2.477962
6003045685,0.765780,-1.117036,0.192467,0.183706,-0.411670,0.006435,2.572036
6103096446,-0.226217,-0.911093,-0.378423,0.200902,-0.389615,0.030048,2.510604
6203147208,0.037673,-1.010963,-0.320656,0.190098,-0.392022,0.066619,2.435873
6303197969,0.719806,-0.653886,0.062269,0.206243,-0.397401,0.075450,2.492370
6403248730,0.192856,-0.740405,0.109379,0.185223,-0.343807,0.048905,2.359249
6503299492,0.592699,-0.764640,0.192086,0.132080,-0.358616,0.028058,2.517505
6603350253,0.497185,-0.938213,0.151717,0.150490,-0.353843,0.021148,2.480295
