timestampNs,ax,ay,az,gx,gy,gz,speedMps
0,1.954033,1.535674,1.193364,0.158573,0.003231,-0.191473,14.193889
100518134,2.161829,1.766818,0.282770,0.165409,-0.050509,-0.113547,14.034794
201036269,-0.479179,1.322889,0.025857,-0.031546,0.104821,0.068495,13.779987
301554404,2.029895,1.092079,-0.229934,-0.084917,-0.016544,0.061523,13.590737
402072538,-0.289915,3.006428,1.090997,-0.016697,0.256531,0.134642,13.439082
502590673,0.789159,0.257741,-0.237857,0.050401,-0.173639,-0.076787,13.205317
603108808,1.736665,0.075472,-0.049803,0.002064,0.068262,0.075749,12.951975
703626943,0.888362,-0.034392,0.199566,0.008047,-0.179380,-0.086416,12.815943
804145077,0.256932,0.314963,0.147716,0.005490,-0.081798,0.015015,12.622097
904663212,-1.109881,1.075264,0.136634,-0.024080,-0.105792,-0.043813,12.502915
1005181347,-0.472362,1.761879,0.320377,0.091243,-0.021572,-0.067194,12.349866
1105699481,-2.769322,0.822112,1.043275,0.135196,-0.111665,-0.113672,12.191672
1206217616,0.355497,-0.632271,-0.663771,-0.056481,-0.231118,-0.043911,12.039847
1306735751,-3.051260,1.446662,-0.261043,-0.098828,0.092564,0.090179,11.824014
1407253886,1.557075,0.391378,0.205220,0.065812,-0.101384,-0.150232,11.751734
1507772020,-0.681596,0.736801,0.021045,-0.099987,0.296405,0.078731,11.529692
1608290155,1.292918,0.269439,-0.547929,-0.042311,0.101988,-0.009810,11.353034
1708808290,0.119113,1.960231,-0.143044,-0.113112,0.397375,0.128547,11.144076
1809326424,-1.614434,2.814595,-0.146719,-0.017661,0.199926,0.048737,11.033469
1909844559,-0.643309,2.795157,-0.339103,0.008815,0.272327,0.011878,10.841681
2010362694,0.684998,0.894249,-0.194680,0.041347,0.068465,-0.068591,10.638696
2110880829,-0.631679,1.872429,0.024024,-0.156764,0.146086,-0.002430,10.460189
2211398963,-0.222468,-0.633976,0.484931,-0.041736,0.041565,0.014246,10.209273
2311917098,-2.684103,1.446547,-0.607959,-0.052843,0.331083,0.081436,10.020178
2412435233,-1.236449,1.177159,0.448819,0.051866,0.149903,-0.126965,9.899508
2512953367,-2.970075,2.557613,0.920189,-0.036012,0.477764,0.072973,9.686573
2613471502,-0.676977,-0.216622,0.455882,0.010052,0.168582,-0.057390,9.442673
2713989637,-0.603959,0.456207,0.033622,-0.088349,0.491946,0.094384,9.295262
