TIME SINCE START (ms),DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE Yaw (rad/s),GYROSCOPE Pitch (rad/s),GYROSCOPE Roll (rad/s),GPS LATITUDE (degrees),GPS LONGITUDE (degrees),GPS SPEED (Kmh),GPS ORIENTATION (°),GPS ACCURACY (m)
2922,2019-09-08 10:07:49:546,0,0.025,9.80665,0.0,0,-0.01,12.0,77.0,18.0,0.0,2
3022,2019-09-08 10:07:49:646,0,0.025,9.80665,0.0,0,-0.01,12.000004498404424,77.0000000045989,18.0072,0.057295779513082325,2
3122,2019-09-08 10:07:49:746,0,0.025,9.80665,0.0,0,-0.01,12.00000899860074,77.00000001380039,18.0144,0.11459155902616465,2
3222,2019-09-08 10:07:49:846,0,0.025,9.80665,0.0,0,-0.01,12.000013500584439,77.00000002760811,18.021600000000003,0.171887338539247,2
3322,2019-09-08 10:07:49:946,0,0.025,9.80665,0.0,0,-0.01,12.000018004351011,77.00000004602573,18.0288,0.2291831180523293,2
3422,2019-09-08 10:07:50:046,0,0.025,9.80665,0.0,0,-0.01,12.000022509895937,77.00000006905694,18.036,0.2864788975654116,2
3522,2019-09-08 10:07:50:146,0,0.025,9.80665,0.0,0,-0.01,12.000027017214693,77.00000009670536,18.0432,0.343774677078494,2
3622,2019-09-08 10:07:50:246,0,0.025,9.80665,0.0,0,-0.01,12.00003152630275,77.00000012897465,18.0504,0.4010704565915763,2
3722,2019-09-08 10:07:50:346,0,0.025,9.80665,0.0,0,-0.01,12.000036037155574,77.00000016586846,18.0576,0.4583662361046586,2
3822,2019-09-08 10:07:50:446,0,0.025,9.80665,0.0,0,-0.01,12.000040549768626,77.00000020739043,18.064799999999998,0.5156620156177409,2
3922,2019-09-08 10:07:50:546,0,0.025,9.80665,0.0,0,-0.01,12.00004506413736,77.00000025354419,18.072,0.5729577951308232,2
4022,2019-09-08 10:07:50:646,0,0.025,9.80665,0.0,0,-0.01,12.000049580257226,77.00000030433338,18.0792,0.6302535746439056,2
4122,2019-09-08 10:07:50:746,0,0.025,9.80665,0.0,0,-0.01,12.000054098123668,77.00000035976161,18.0864,0.687549354156988,2
4222,2019-09-08 10:07:50:846,0,0.025,9.80665,0.0,0,-0.01,12.000058617732126,77.00000041983253,18.0936,0.7448451336700702,2
4322,2019-09-08 10:07:50:946,0,0.025,9.80665,0.0,0,-0.01,12.000063139078032,77.00000048454974,18.1008,0.8021409131831526,2
4422,2019-09-08 10:07:51:046,0,0.025,9.80665,0.0,0,-0.01,12.000067662156816,77.00000055391685,18.108,0.8594366926962348,2
4522,2019-09-08 10:07:51:146,0,0.025,9.80665,0.0,0,-0.01,12.0000721869639,77.00000062793747,18.1152,0.9167324722093172,2
4622,2019-09-08 10:07:51:246,0,0.025,9.80665,0.0,0,-0.01,12.000076713494702,77.0000007066152,18.1224,0.9740282517223996,2
4722,2019-09-08 10:07:51:346,0,0.025,9.80665,0.0,0,-0.01,12.000081241744633,77.00000078995365,18.1296,1.0313240312354819,2
4822,2019-09-08 10:07:51:446,0,0.025,9.80665,0.0,0,-0.01,12.000085771709102,77.00000087795641,18.1368,1.0886198107485643,2
4922,2019-09-08 10:07:51:546,0,0.025,9.80665,0.0,0,-0.01,12.00009030338351,77.00000097062706,18.144000000000002,1.1459155902616465,2
5022,2019-09-08 10:07:51:646,0,0.025,9.80665,0.0,0,-0.01,12.000094836763253,77.00000106796918,18.1512,1.2032113697747289,2
5122,2019-09-08 10:07:51:746,0,0.025,9.80665,0.0,0,-0.01,12.000099371843723,77.00000116998638,18.1584,1.2605071492878113,2
5222,2019-09-08 10:07:51:846,0,0.025,9.80665,0.0,0,-0.01,12.000103908620304,77.0000012766822,18.1656,1.3178029288008937,2
5322,2019-09-08 10:07:51:946,0,0.025,9.80665,0.0,0,-0.01,12.000108447088378,77.00000138806023,18.172800000000002,1.375098708313976,2
5422,2019-09-08 10:07:52:046,0,0.025,9.80665,0.0,0,-0.01,12.00011298724332,77.00000150412403,18.18,1.4323944878270582,2
5522,2019-09-08 10:07:52:146,0,0.025,9.80665,0.0,0,-0.01,12.0001175290805,77.00000162487716,18.1872,1.4896902673401404,2
5622,2019-09-08 10:07:52:246,0,0.025,9.80665,0.0,0,-0.01,12.000122072595282,77.00000175032318,18.1944,1.5469860468532228,2
5722,2019-09-08 10:07:52:346,0,0.025,9.80665,0.0,0,-0.01,12.000126617783025,77.00000188046562,18.2016,1.6042818263663052,2
5822,2019-09-08 10:07:52:446,0,0.025,9.80665,0.0,0,-0.01,12.000131164639084,77.00000201530806,18.2088,1.6615776058793876,2
5922,2019-09-08 10:07:52:546,0,0.025,9.80665,0.0,0,-0.01,12.000135713158809,77.00000215485402,18.215999999999998,1.7188733853924696,2
6022,2019-09-08 10:07:52:646,0,0.025,9.80665,0.0,0,-0.01,12.000140263337542,77.00000229910702,18.223200000000002,1.7761691649055522,2
6122,2019-09-08 10:07:52:746,0,0.025,9.80665,0.0,0,-0.01,12.000144815170621,77.00000244807065,18.2304,1.8334649444186344,2
6222,2019-09-08 10:07:52:846,0,0.025,9.80665,0.0,0,-0.01,12.00014936865338,77.00000260174836,18.2376,1.8907607239317168,2
6322,2019-09-08 10:07:52:946,0,0.025,9.80665,0.0,0,-0.01,12.000153923781145,77.00000276014373,18.244799999999998,1.9480565034447992,2
6422,2019-09-08 10:07:53:046,0,0.025,9.80665,0.0,0,-0.01,12.000158480549242,77.00000292326027,18.252000000000002,2.0053522829578814,2
6522,2019-09-08 10:07:53:146,0,0.025,9.80665,0.0,0,-0.01,12.000163038952985,77.00000309110146,18.2592,2.0626480624709638,2
6622,2019-09-08 10:07:53:246,0,0.025,9.80665,0.0,0,-0.01,12.000167598987689,77.00000326367083,18.2664,2.119943841984046,2
6722,2019-09-08 10:07:53:346,0,0.025,9.80665,0.0,0,-0.01,12.000172160648658,77.0000034409719,18.2736,2.1772396214971286,2
6822,2019-09-08 10:07:53:446,0,0.025,9.80665,0.0,0,-0.01,12.000176723931196,77.00000362300813,18.280800000000003,2.234535401010211,2
